Marca;Modelo;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;Total
MOTOMEL;        MOTOMEL T150;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
MOTOMEL;        MOTOMEL GO 125 VINTAGE;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
MOTOMEL;        MOTOMEL SL125;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
CORVEN;        CORVEN ENERGY 110 BY CORVEN;2.872;3.010;5.053;3.379;3.110;2.409;2.600;2.891;1.875;2.168;2.008;1.758;1.720;2.394;2.234;39.481
CORVEN;        CORVEN MIRAGE 110;504;439;642;486;534;498;529;808;518;687;614;567;435;628;568;8.457
CORVEN;        CORVEN TRIAX 150;503;488;650;560;476;415;431;568;398;493;523;524;557;645;439;7.670
CORVEN;        CORVEN HUNTER 150;197;197;293;0;214;161;194;225;111;86;74;142;148;146;107;2.295
CORVEN;        CORVEN TRIAX 250;89;97;0;108;145;117;186;126;111;103;103;96;85;54;59;1.479
CORVEN;        CORVEN DX 70;51;73;127;94;141;95;108;107;73;85;81;52;34;24;19;1.164
CORVEN;        CORVEN TRIAX 200;50;45;45;69;66;61;49;50;41;57;64;64;67;55;40;823
CORVEN;        CORVEN EXPERT 150;51;43;72;34;57;29;27;38;36;66;57;53;52;43;25;683
CORVEN;        CORVEN EXPERT 80;34;24;42;40;34;17;32;19;23;24;15;20;15;15;24;378
CORVEN;        CORVEN HUNTER 150;0;0;0;246;0;0;0;0;0;0;0;0;0;0;0;246
CORVEN;        CORVEN TRIAX 250 TOURING;2;5;13;7;13;9;13;19;13;21;17;5;1;7;4;149
CORVEN;        CORVEN TRIAX 250;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;120
CORVEN;        CORVEN ENERGY 125;0;0;5;1;0;0;1;0;0;0;0;0;0;0;0;7
